"","mod_normal_normal_id_parametros","DIC_normal_normal_id","pseudo_r_norm_norm_id"
"1","Media 0 y precision 0.001",429996.587232725,0.0412221938700025
"2","Media 0 y precision 0.1",392980.94757449,0.0412221938700025
"3","Media 0 y precision 1",414497.209476477,0.0412221938700025
