"","mod_normal_normal_logit_parametros","DIC_normal_normal_logit","pseudo_r_norm_norm_logit"
"1","Media 0 y precision 0.001",25984.8591924004,0.000369739461433516
"2","Media 0 y precision 0.1",25984.8469544765,0.000369739461433516
"3","Media 0 y precision 1",25985.0080674563,0.000369739461433516
